Athlete;Nation;EventDate;Year;Competition;Event;Qualified;Apparatus;Dscore;Escore;Penalties;FinalScore;Rank
HRIBAR Anze;SLO;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;PH;3.6;7.200;;10.800;118
SUNDELL William;SWE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;PH;4.9;5.900;;10.800;119
ANGONAS Georgios;CYP;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;PH;3.4;7.266;;10.666;120
ZEIDEL Uri;ISR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;PH;4.9;5.766;;10.666;121
KARLSEN Jacob;NOR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;PH;4.4;6.233;;10.633;122
SASNAL Filip;POL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;PH;! 3.9;6.666;;10.566;123
RADOVESNICKY Daniel;CZE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;PH;3.3;7.200;;10.500;124
IDESJOE Karl;SWE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;PH;3.2;7.266;;10.466;125
ALEKSANDROV Yordan;BUL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;PH;4.5;5.966;;10.466;126
HOOTON Niall;IRL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;PH;4.2;6.100;;10.300;127
BRANDENBURGER Quentin;LUX;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;PH;4.2;5.700;;9.900;128
IL-SUNG MELANDER Luis;SWE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;PH;4.2;4.700;;8.900;129
CROVETTO Kevin;MON;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;PH;! 2.6;6.800;-3.00;6.400;130
VIDRICKO Peter;SVK;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;PH;3.2;5.766;-4.00;4.966;131
ASIL Adem;TUR;11/04/2023;2023;European Championships;Antalya EUCH 2023;Y;SR;6.3;8.733;;15.033;1
DAVTYAN Vahagn;ARM;11/04/2023;2023;European Championships;Antalya EUCH 2023;Y;SR;6.0;8.800;;14.800;2
TULLOCH Courtney;GBR;11/04/2023;2023;European Championships;Antalya EUCH 2023;Y;SR;6.2;8.533;;14.733;3
PETROUNIAS Eleftherios;GRE;11/04/2023;2023;European Championships;Antalya EUCH 2023;Y;SR;6.3;8.433;;14.733;4
AVETISYAN Artur;ARM;11/04/2023;2023;European Championships;Antalya EUCH 2023;Y;SR;5.9;8.766;;14.666;5
SIMONOV Nikita;AZE;11/04/2023;2023;European Championships;Antalya EUCH 2023;Y;SR;6.2;8.466;;14.666;6
LODADIO Marco;ITA;11/04/2023;2023;European Championships;Antalya EUCH 2023;Y;SR;6.3;8.333;;14.633;7
PILAKOURIS Sokratis;CYP;11/04/2023;2023;European Championships;Antalya EUCH 2023;Y;SR;5.9;8.566;;14.466;8
RADIVILOV Igor;UKR;11/04/2023;2023;European Championships;Antalya EUCH 2023;R;SR;6.0;8.300;;14.300;9
KOSAK Mehmet Ayberk;TUR;11/04/2023;2023;European Championships;Antalya EUCH 2023;R;SR;6.0;8.200;;14.200;10
ZAPATA Rayderley;ESP;11/04/2023;2023;European Championships;Antalya EUCH 2023;R;SR;5.5;8.633;;14.133;11
SCHMIDT Casimir;NED;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.5;8.566;;14.066;12
MUNTEAN Andrei Vasile;ROU;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.3;8.600;;13.900;13
HEPWORTH Harry;GBR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.4;8.466;;13.866;14
PHILIPPE Mathias;FRA;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.5;8.366;;13.866;15
YUSOF Eddy;SUI;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.6;8.233;;13.833;16
ABAD Nestor;ESP;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.3;8.466;;13.766;17
DAVTYAN Artur;ARM;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.8;8.933;;13.733;18
KOVTUN Illia;UKR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.3;8.433;;13.733;19
GULIDOV Pavel;ISR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.5;8.233;;13.733;20
MODOIANU-ZSEDER Toma;ROU;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.8;7.900;;13.700;21
BURTANETE Gabriel;ROU;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.1;8.566;;13.666;22
TOBA Andreas;GER;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.5;8.133;;13.633;23
KOLODII Pantely;UKR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.0;8.533;;13.533;24
KARLSEN Jacob;NOR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.5;8.033;;13.533;25
ABBADINI Yumin;ITA;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.7;8.800;;13.500;26
TIKHONOV Ivan;AZE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.3;8.200;;13.500;27
GEORGIOU Ilias;CYP;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.7;8.766;;13.466;28
CASALI Lorenzo Minh;ITA;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.1;8.366;;13.466;29
BERNARD Cameron-Lie;FRA;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.2;8.266;;13.466;30
VAN DEN BOOGAARD Nico;NED;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.6;7.866;;13.466;31
CUYLE Glen;BEL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;6.0;7.466;;13.466;32
KOSKI Elias;FIN;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.9;8.533;;13.433;33
SENER Kerem;TUR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.2;8.233;;13.433;34
ILIOPOULOS Nikolaos;GRE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.7;8.700;;13.400;35
LEVANTESI Matteo;ITA;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.7;8.700;;13.400;35
IDESJOE Karl;SWE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.5;8.866;;13.366;37
ZLATANOV Bozhidar;BUL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.4;8.933;;13.333;38
MESZAROS Krisztofer;HUN;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.7;8.633;;13.333;39
VERA Adria;ESP;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.7;8.633;;13.333;39
DUNKEL Nils;GER;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.3;8.033;;13.333;41
MARTINEZ Victor;BEL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.0;8.300;;13.300;42
LANGENEGGER Florian;SUI;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.6;8.666;;13.266;43
KISS Balazs;HUN;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.1;8.166;;13.266;44
KLESSING Nick;GER;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.4;7.866;;13.266;45
JARMAN Jake;GBR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.7;8.533;;13.233;46
KIRMES Oskar;FIN;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.7;8.533;;13.233;46
BALAZS Krisztian;HUN;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.6;8.600;;13.200;48
ZONA Jim;FRA;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.7;8.500;;13.200;49
TOBIN Adam;GBR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.0;8.200;;13.200;50
DOLGOPYAT Artem;ISR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.5;8.666;;13.166;51
ONOSHIMA Takumi;BEL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.5;8.666;;13.166;51
NATHAN Joshua;GBR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.8;8.366;;13.166;53
HOSSEINI Milan;GER;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.4;8.733;;13.133;54
TVOROGAL Robert;LTU;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.5;8.633;;13.133;55
KANERVA Tarmo;FIN;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.3;8.800;;13.100;56
BRENDEL Pascal;GER;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.6;8.500;;13.100;57
DE MUNCK Loran;NED;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.6;8.500;;13.100;57
LIUBIMOV Ilia;ISR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.2;8.866;;13.066;59
MOLNAR Botond;HUN;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.4;8.666;;13.066;60
JIMENEZ Pau;ESP;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.5;8.566;;13.066;61
HEGGEMSNES Sofus;NOR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.6;8.433;;13.033;62
VAN DEN KEYBUS Luka;BEL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.3;8.700;;13.000;63
KRANZLMUELLER Severin;AUT;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.4;8.600;;13.000;64
KRATTER Moreno;SUI;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.5;8.500;;13.000;65
STELMAKH Radomyr;UKR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.5;8.500;;13.000;65
MATIEV Askhab;AUT;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.1;8.866;;12.966;67
ZEIDEL Uri;ISR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.7;8.266;;12.966;68
CHASAZYROVAS Gytis;LTU;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.7;8.233;;12.933;69
SALADINO Leo;FRA;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.7;8.233;;12.933;69
VEFIC Petar;SRB;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.1;8.800;;12.900;71
PENEV Kevin;BUL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.6;8.300;;12.900;72
DIALLO Thierno;ESP;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.7;8.200;;12.900;73
NEMCOVIC Matej;SVK;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.9;7.933;;12.833;74
KUZMICKAS Tomas;LTU;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.1;8.700;;12.800;75
BUCKLEY Kevin George;SLO;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.3;8.500;;12.800;76
RUDY Ricardo;AUT;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.3;8.500;;12.800;76
WIBYE Harald;NOR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.3;8.500;;12.800;76
STENBERG Marcus;SWE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.4;8.400;;12.800;79
GRUENBERG Jermain;NED;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.2;8.566;;12.766;80
TANTALIDIS Antonios;GRE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;3.9;8.800;;12.700;81
KHACHIKYAN Gagik;ARM;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.1;8.600;;12.700;82
CAMPOS Guilherme;POR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.2;8.500;;12.700;83
NOGUEIRA Jose;POR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.2;8.500;;12.700;83
BURTANETE Robert;ROU;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.3;8.400;;12.700;85
RAMSAHAI Yazz;NED;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.3;8.400;;12.700;85
ONDER Ahmet;TUR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.8;7.900;;12.700;87
ANGONAS Georgios;CYP;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.2;8.466;;12.666;88
SASNAL Filip;POL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.2;8.466;;12.666;88
BAGO Daniel;CZE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.1;8.533;;12.633;90
ALEKSANDROV Yordan;BUL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.6;8.033;;12.633;91
GAWRONSKI Sebastian;POL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.0;7.633;;12.633;92
MARC Razvan-Denis;ROU;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.4;7.200;;12.600;93
GUNNARSSON Jon;ISL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.7;6.866;;12.566;94
BRANDENBURGER Quentin;LUX;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.2;8.333;;12.533;95
DAVIDSSON Agust Ingi;ISL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.4;8.133;;12.533;96
TRIFONOV Teodor;BUL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.5;7.933;;12.433;97
HRIBAR Anze;SLO;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.2;8.166;;12.366;98
SKOGVANG Peder;NOR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.2;8.166;;12.366;98
IL-SUNG MELANDER Luis;SWE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.5;6.866;;12.366;100
SEIFERT Noe;SUI;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.0;7.333;;12.333;101
CUNNINGHAM Dominick;IRL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.8;7.466;;12.266;102
CROVETTO Kevin;MON;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;3.8;8.433;;12.233;103
CHARI Michalis;CYP;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.6;7.633;;12.233;104
OTRESHKO Volodymyr;SVK;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;3.8;8.400;;12.200;105
GARNCZAREK Kacper;POL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.1;8.100;;12.200;106
KIRMES Robert;FIN;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.3;6.900;;12.200;107
PLATE Ricards;LAT;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;3.9;8.233;;12.133;108
REINHARDSSON Valgard;ISL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.3;7.800;;12.100;109
BOJANC Luka;SLO;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;5.4;6.700;;12.100;110
SKHILADZE Levan;GEO;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.0;8.066;;12.066;111
GUDMUNDSSON Martin;ISL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.1;7.966;;12.066;112
STEELE Adam;IRL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;3.6;8.400;;12.000;113
KASALA Oliver;SVK;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.0;7.966;;11.966;114
POSPISIL Martin;CZE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;3.8;8.100;;11.900;115
GAGAMOV Jack;CZE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.2;7.700;;11.900;116
BENDA Alexander;AUT;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.3;7.566;;11.866;117
OLAFSSON Dagur Kari;ISL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;3.8;8.033;;11.833;118
GENTGES Maxime;BEL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.6;7.233;;11.833;119
RADOVESNICKY Daniel;CZE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;3.7;8.000;;11.700;120
LENBERG Joakim;SWE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.1;7.600;;11.700;121
VIDRICKO Peter;SVK;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;3.8;7.800;;11.600;122
HOOTON Niall;IRL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;3.6;7.933;;11.533;123
SITCHINAVA Bidzina;GEO;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;3.3;8.200;;11.500;124
TSOLAKIDIS Stefanos;GRE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;SR;4.2;7.266;;11.466;125
DAVTYAN Artur;ARM;11/04/2023;2023;European Championships;Antalya EUCH 2023;Y;VT;5.6;9.400;;15.000;1
HEPWORTH Harry;GBR;11/04/2023;2023;European Championships;Antalya EUCH 2023;Y;VT;5.6;9.400;;15.000;1
ASIL Adem;TUR;11/04/2023;2023;European Championships;Antalya EUCH 2023;Y;VT;6.0;9.066;-0.10;14.966;3
JARMAN Jake;GBR;11/04/2023;2023;European Championships;Antalya EUCH 2023;Y;VT;6.0;8.766;;14.766;4
BURTANETE Gabriel;ROU;11/04/2023;2023;European Championships;Antalya EUCH 2023;Y;VT;5.6;9.100;-0.10;14.600;5
ZAPATA Rayderley;ESP;11/04/2023;2023;European Championships;Antalya EUCH 2023;Y;VT;5.6;9.000;;14.600;6
RADIVILOV Igor;UKR;11/04/2023;2023;European Championships;Antalya EUCH 2023;Y;VT;5.6;8.933;;14.533;7
HEGGEMSNES Sofus;NOR;11/04/2023;2023;European Championships;Antalya EUCH 2023;Y;VT;5.2;9.300;;14.500;8
GIUBELLINI Luca;SUI;11/04/2023;2023;European Championships;Antalya EUCH 2023;R;VT;5.6;9.000;-0.10;14.500;9
CASALI Lorenzo Minh;ITA;11/04/2023;2023;European Championships;Antalya EUCH 2023;R;VT;5.2;9.266;;14.466;10
MARTINEZ Victor;BEL;11/04/2023;2023;European Championships;Antalya EUCH 2023;R;VT;5.2;9.266;;14.466;10
TOBIN Adam;GBR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.266;;14.466;10
KALNY Ondrej;CZE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.233;;14.433;13
KUAVITA Noah;BEL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.233;;14.433;13
SALADINO Leo;FRA;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.6;8.933;-0.10;14.433;15
GAWRONSKI Sebastian;POL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.200;;14.400;16
RAMSAHAI Yazz;NED;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.200;;14.400;16
KYRIAKOU Neofytos;CYP;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.166;;14.366;18
KOVTUN Illia;UKR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.133;;14.333;19
MUNTEAN Andrei Vasile;ROU;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.133;;14.333;19
MOLNAR Botond;HUN;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.100;;14.300;21
SPONEVIK Sebastian;NOR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.100;;14.300;21
KLESSING Nick;GER;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.066;;14.266;23
PENEV Eddie;BUL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.066;;14.266;23
SCHMIDT Casimir;NED;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.066;;14.266;23
CUNNINGHAM Dominick;IRL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.033;;14.233;26
GULIDOV Pavel;ISR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.033;;14.233;26
LODADIO Marco;ITA;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.033;;14.233;26
MESZAROS Krisztofer;HUN;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.400;;14.200;29
MACCHIATI Mario;ITA;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.100;-0.10;14.200;30
ONDER Ahmet;TUR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.000;;14.200;31
ZLATANOV Bozhidar;BUL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.000;;14.200;31
KOCHAN Lucas;GER;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.366;;14.166;33
HOSSEINI Milan;GER;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;8.933;;14.133;34
GEORGIOU Ilias;CYP;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.300;;14.100;35
NATHAN Joshua;GBR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;8.900;;14.100;36
ANGONAS Georgios;CYP;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.233;;14.033;37
ARICAN Ferhat;TUR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;8.933;-0.10;14.033;38
LANGENEGGER Florian;SUI;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;8.933;-0.10;14.033;38
BURTANETE Robert;ROU;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;8.833;;14.033;40
DESANGES Lucas;FRA;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.200;;14.000;41
TOBA Andreas;GER;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;8.900;-0.10;14.000;42
BRENDEL Pascal;GER;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.166;;13.966;43
ILIOPOULOS Nikolaos;GRE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.166;;13.966;43
MARC Razvan-Denis;ROU;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.166;;13.966;43
KARLSEN Jacob;NOR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.133;;13.933;46
SEIFERT Noe;SUI;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.133;;13.933;46
KIRMES Robert;FIN;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.100;;13.900;48
REINHARDSSON Valgard;ISL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.100;;13.900;48
ZONA Jim;FRA;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.100;;13.900;48
PENEV Kevin;BUL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;9.000;-0.30;13.900;51
TULLOCH Courtney;GBR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;6.0;7.900;;13.900;52
CHARI Michalis;CYP;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.066;;13.866;53
CAMPOS Guilherme;POR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.033;;13.833;54
KOSKI Elias;FIN;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.033;;13.833;54
ONOSHIMA Takumi;BEL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.033;;13.833;54
TVOROGAL Robert;LTU;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.033;;13.833;54
LIUBIMOV Ilia;ISR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.100;-0.10;13.800;58
DIALLO Thierno;ESP;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.000;;13.800;59
HUERNINK Luuk;NED;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.000;;13.800;59
WIBYE Harald;NOR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.000;;13.800;59
DOLGOPYAT Artem;ISR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.066;-0.10;13.766;62
SASNAL Filip;POL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.033;-0.10;13.733;63
ABBADINI Yumin;ITA;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;8.933;;13.733;64
HRIBAR Anze;SLO;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;8.933;;13.733;64
RUDY Ricardo;AUT;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;8.933;;13.733;64
SERHANI Taha;SUI;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;8.933;;13.733;64
VEFIC Petar;SRB;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;8.933;;13.733;64
ABAD Nestor;ESP;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.000;-0.10;13.700;69
BERNARD Cameron-Lie;FRA;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;9.000;-0.10;13.700;69
ALEKSANDROV Yordan;BUL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;8.900;;13.700;71
GUDMUNDSSON Martin;ISL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;8.900;;13.700;71
HOOTON Niall;IRL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;8.900;;13.700;71
MELNYKOV Mykyta;UKR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;8.900;;13.700;71
CHASAZYROVAS Gytis;LTU;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;8.500;;13.700;75
STEELE Adam;IRL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;8.500;;13.700;75
GRUENBERG Jermain;NED;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;8.866;;13.666;77
STENE Nore;NOR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;8.866;;13.666;77
THORISSON Jonas Ingi;ISL;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;8.866;;13.666;77
TANTALIDIS Antonios;GRE;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;5.2;8.766;-0.30;13.666;80
NOGUEIRA Jose;POR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.4;9.233;;13.633;81
BRANDENBURGER Quentin;LUX;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;8.833;;13.633;82
KOSAK Mehmet Ayberk;TUR;11/04/2023;2023;European Championships;Antalya EUCH 2023;N;VT;4.8;8.900;-0.10;13.600;83
